ID: abb609b7 | Qty: 1 | Prot: Arroz con pollo | Val: 10000 | Date: 2026-03-11T16:16:35.867462+00:00
ID: 1b08a063 | Qty: 1 | Prot: Arroz con pollo | Val: 12000 | Date: 2026-03-11T16:20:10.810218+00:00
ID: 9b98951d | Qty: 1 | Prot: Arroz con pollo | Val: 12000 | Date: 2026-03-11T16:21:56.444829+00:00
ID: 165d7672 | Qty: 1 | Prot: Arroz con pollo | Val: 13000 | Date: 2026-03-11T17:53:48.806287+00:00
ID: f040ae83 | Qty: 1 | Prot: Arroz con pollo | Val: 13000 | Date: 2026-03-11T16:23:18.182838+00:00
ID: 853672be | Qty: 1 | Prot: Arroz Trifásico pequeña | Val: 5000 | Date: 2026-03-13T14:51:19.510383+00:00
ID: d76bb9e8 | Qty: 1 | Prot: Arroz Trifásico grande | Val: 10000 | Date: 2026-03-13T14:13:27.391943+00:00
ID: 110adba9 | Qty: 1 | Prot: Arroz Trifásico pequeña | Val: 7000 | Date: 2026-03-13T14:25:10.421952+00:00
ID: 80252707 | Qty: 1 | Prot: Arroz Trifásico grande | Val: 10000 | Date: 2026-03-13T15:52:09.343517+00:00
ID: 2b8cae81 | Qty: 1 | Prot: 2x Arroz Trifásico pequeña | Val: 12000 | Date: 2026-03-13T14:32:06.118019+00:00
ID: 2b8cae81 | Qty: 1 | Prot: 2x Arroz Trifásico pequeña | Val: 10000 | Date: 2026-03-13T14:32:06.118019+00:00
ID: 437fe1f6 | Qty: 1 | Prot: Arroz Trifásico pequeña | Val: 4000 | Date: 2026-03-13T15:54:59.822047+00:00
ID: 437fe1f6 | Qty: 1 | Prot: Arroz Trifásico grande | Val: 10000 | Date: 2026-03-13T15:54:59.822047+00:00
ID: b6467270 | Qty: 1 | Prot: Arroz Trifásico pequeña | Val: 5000 | Date: 2026-03-13T14:49:15.392112+00:00
ID: 00639884 | Qty: 1 | Prot: 2x Arroz Trifásico pequeña | Val: 10000 | Date: 2026-03-13T14:14:31.67437+00:00
ID: c9d1b6cf | Qty: 1 | Prot: Arroz Trifásico pequeña | Val: 5000 | Date: 2026-03-13T14:48:39.20206+00:00
